Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1992 ,65th,Gene Hackman,Unforgiven,Best Supporting Actor,https://en.wikipedia.org/wiki/Gene Hackman,https://upload.wikimedia.org/wikipedia/commons/c/c4/GeneHackmanJun2108.jpg,"San Bernardino, California, U.S.",1930,62
1993 ,66th,Tommy Lee Jones,The Fugitive,Best Supporting Actor,https://en.wikipedia.org/wiki/Tommy Lee Jones,https://upload.wikimedia.org/wikipedia/commons/4/4f/Tommy_Lee_Jones_2017.jpg,"San Saba, Texas, U.S.",1946,47
1994 ,67th,Martin Landau,Ed Wood,Best Supporting Actor,https://en.wikipedia.org/wiki/Martin Landau,https://upload.wikimedia.org/wikipedia/commons/9/9e/Martin_Landau-Mission-1968.jpg,"Brooklyn, New York City, U.S.",1928,66
1995 ,68th,Kevin Spacey,The Usual Suspects,Best Supporting Actor,https://en.wikipedia.org/wiki/Kevin Spacey,//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Kevin_Spacey%2C_May_2013.jpg/220px-Kevin_Spacey%2C_May_2013.jpg,"South Orange, New Jersey, U.S.",1959,36
1996 ,69th,Cuba Gooding Jr.,Jerry Maguire,Best Supporting Actor,https://en.wikipedia.org/wiki/Cuba Gooding Jr.,https://upload.wikimedia.org/wikipedia/commons/6/67/Cuba_Gooding_Jr._2012.jpg,"The Bronx, New York, U.S.",1968,28
1997 ,70th,Robin Williams,Good Will Hunting,Best Supporting Actor,https://en.wikipedia.org/wiki/Robin Williams,https://upload.wikimedia.org/wikipedia/commons/5/59/Robin_Williams_Happy_Feet_premiere.jpg,"Chicago, Illinois, U.S.",1951,46
1998 ,71st,James Coburn,Affliction,Best Supporting Actor,https://en.wikipedia.org/wiki/James Coburn,https://upload.wikimedia.org/wikipedia/commons/9/9d/James_Coburn_The_Californians_1959.JPG,"Laurel, Nebraska, U.S.",1928,70
1999 ,72nd,Michael Caine,The Cider House Rules,Best Supporting Actor,https://en.wikipedia.org/wiki/Michael Caine,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Sir_Michael_Caine%2C_28th_EFA_Awards_2015%2C_Berlin_%28cropped%29.jpg/220px-Sir_Michael_Caine%2C_28th_EFA_Awards_2015%2C_Berlin_%28cropped%29.jpg,"Rotherhithe, London, England",1933,66
2000 ,73rd,Benicio del Toro,Traffic,Best Supporting Actor,https://en.wikipedia.org/wiki/Benicio del Toro,https://upload.wikimedia.org/wikipedia/commons/3/32/Benicio_Del_Toro_-_Guardians_of_the_Galaxy_premiere_-_July_2014_%28cropped%29.jpg,"San Germán, Puerto Rico",1967,33
2001 ,74th,Jim Broadbent,Iris,Best Supporting Actor,https://en.wikipedia.org/wiki/Jim Broadbent,https://upload.wikimedia.org/wikipedia/commons/6/6b/JimBroadbent07TIFF_cropped.jpg,"Holton cum Beckering, Lincolnshire, England",1949,52
