Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1986 ,59th,Dianne Wiest,Hannah and Her Sisters,Best Supporting Actress,https://en.wikipedia.org/wiki/Dianne Wiest,https://upload.wikimedia.org/wikipedia/commons/4/49/Dianewiest.jpg,"Kansas City, Missouri, U.S.",1946,40
1987 ,60th,Olympia Dukakis,Moonstruck,Best Supporting Actress,https://en.wikipedia.org/wiki/Olympia Dukakis,https://upload.wikimedia.org/wikipedia/commons/7/78/Olympia_Dukakis_2019.jpg,"Lowell, Massachusetts, U.S.",1931,56
1988 ,61st,Geena Davis,The Accidental Tourist,Best Supporting Actress,https://en.wikipedia.org/wiki/Geena Davis,https://upload.wikimedia.org/wikipedia/commons/9/91/Geena_Davis_2013_%28cropped%29.jpg,"Wareham, Massachusetts, U.S.",1956,32
1989 ,62nd,Brenda Fricker,My Left Foot,Best Supporting Actress,https://en.wikipedia.org/wiki/Brenda Fricker,https://upload.wikimedia.org/wikipedia/commons/6/61/Brenda_Fricker_March_1990.jpg,"Dublin, Ireland",1945,44
1990 ,63rd,Whoopi Goldberg,Ghost,Best Supporting Actress,https://en.wikipedia.org/wiki/Whoopi Goldberg,Unknown,Unknown,1955,35
1991 ,64th,Mercedes Ruehl,The Fisher King,Best Supporting Actress,https://en.wikipedia.org/wiki/Mercedes Ruehl,https://upload.wikimedia.org/wikipedia/commons/a/a0/Mercedes-Ruehl-eh.jpg,"Jackson Heights, Queens, New York City U.S.",1948,43
1992 ,65th,Marisa Tomei,My Cousin Vinny,Best Supporting Actress,https://en.wikipedia.org/wiki/Marisa Tomei,https://upload.wikimedia.org/wikipedia/commons/d/d7/Marisa_Tomei_%2882155%29_%28cropped%29.jpg,"Brooklyn, New York, U.S.",1964,28
1993 ,66th,Anna Paquin,The Piano,Best Supporting Actress,https://en.wikipedia.org/wiki/Anna Paquin,https://upload.wikimedia.org/wikipedia/commons/9/93/AnnaPaquinToronto2018.jpg,"Winnipeg, Manitoba, Canada",1982,11
1994 ,67th,Dianne Wiest,Bullets over Broadway,Best Supporting Actress,https://en.wikipedia.org/wiki/Dianne Wiest,https://upload.wikimedia.org/wikipedia/commons/4/49/Dianewiest.jpg,"Kansas City, Missouri, U.S.",1946,48
1995 ,68th,Mira Sorvino,Mighty Aphrodite,Best Supporting Actress,https://en.wikipedia.org/wiki/Mira Sorvino,https://upload.wikimedia.org/wikipedia/commons/e/e6/MiraSorvino07TIFF.jpg,"Manhattan, New York, U.S.",1967,28
1996 ,69th,Juliette Binoche,The English Patient,Best Supporting Actress,https://en.wikipedia.org/wiki/Juliette Binoche,https://upload.wikimedia.org/wikipedia/commons/4/45/Juliette_Binoche_Cannes_2017.jpg,"Paris, France",1964,32
1997 ,70th,Kim Basinger,L.A. Confidential,Best Supporting Actress,https://en.wikipedia.org/wiki/Kim Basinger,https://upload.wikimedia.org/wikipedia/commons/8/86/Kimbasinger-4.jpg,"Athens, Georgia, U.S.",1953,44
1998 ,71st,Judi Dench,Shakespeare in Love,Best Supporting Actress,https://en.wikipedia.org/wiki/Judi Dench,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Judi_Dench_at_the_BAFTAs_2007.jpg/220px-Judi_Dench_at_the_BAFTAs_2007.jpg,"Heworth, North Riding of Yorkshire, England",1934,64
1999 ,72nd,Angelina Jolie,"Girl, Interrupted",Best Supporting Actress,https://en.wikipedia.org/wiki/Angelina Jolie,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Angelina_Jolie_2_June_2014_%28cropped%29.jpg/220px-Angelina_Jolie_2_June_2014_%28cropped%29.jpg,"Los Angeles, California, U.S.",1975,24
2000 ,73rd,Marcia Gay Harden,Pollock,Best Supporting Actress,https://en.wikipedia.org/wiki/Marcia Gay Harden,https://upload.wikimedia.org/wikipedia/commons/4/4e/Marcia_Gay_Harden_2013_%28cropped%29.jpg,"La Jolla, California, U.S.",1959,41
2001 ,74th,Jennifer Connelly,A Beautiful Mind,Best Supporting Actress,https://en.wikipedia.org/wiki/Jennifer Connelly,https://upload.wikimedia.org/wikipedia/commons/e/ec/Jennifer_Connelly_2012.jpg,"Cairo, New York, U.S.",1970,31
2002 ,75th,Catherine Zeta-Jones,Chicago,Best Supporting Actress,https://en.wikipedia.org/wiki/Catherine Zeta-Jones,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Catherine_Zeta-Jones_VF_2012_Shankbone_2.jpg/220px-Catherine_Zeta-Jones_VF_2012_Shankbone_2.jpg,"Swansea, Wales, United Kingdom",1969,33
