Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1964,37th,Julie Andrews,Mary Poppins,Best Actress,https://en.wikipedia.org/wiki/Julie Andrews,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Julie_Andrews_Park_Hyatt%2C_Sydney%2C_Australia_2013.jpg/220px-Julie_Andrews_Park_Hyatt%2C_Sydney%2C_Australia_2013.jpg,"Walton-on-Thames, Surrey, England",1935,29
1965,38th,Julie Christie,Darling,Best Actress,https://en.wikipedia.org/wiki/Julie Christie,https://upload.wikimedia.org/wikipedia/commons/9/94/Julie_Christie_%281997%29_%282%29.jpg,"Chabua, Assam, British India",1940,25
1966,39th,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,Best Actress,https://en.wikipedia.org/wiki/Elizabeth Taylor,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Liztaylorinviolet.jpg/220px-Liztaylorinviolet.jpg,"London, England",1932,34
1967,40th,Katharine Hepburn,Guess Who's Coming to Dinner,Best Actress,https://en.wikipedia.org/wiki/Katharine Hepburn,https://upload.wikimedia.org/wikipedia/commons/0/08/Katharine_Hepburn_promo_pic.jpg,"Hartford, Connecticut, U.S.",1907,60
1968,41st,Katharine Hepburn,The Lion in Winter,Best Actress,https://en.wikipedia.org/wiki/Katharine Hepburn,https://upload.wikimedia.org/wikipedia/commons/0/08/Katharine_Hepburn_promo_pic.jpg,"Hartford, Connecticut, U.S.",1907,61
1968,41st,Barbra Streisand,Funny Girl,Best Actress,https://en.wikipedia.org/wiki/Barbra Streisand,https://upload.wikimedia.org/wikipedia/commons/a/a3/Barbra_Streisand_-_1966.jpg,"New York City, U.S.",1942,26
1969,42nd,Maggie Smith,The Prime of Miss Jean Brodie,Best Actress,https://en.wikipedia.org/wiki/Maggie Smith,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Dame_Maggie_Smith_%28retouched%29_%28cropped%29.jpg/220px-Dame_Maggie_Smith_%28retouched%29_%28cropped%29.jpg,"Ilford, Essex, England",1934,35
1970,43rd,Glenda Jackson,Women in Love,Best Actress,https://en.wikipedia.org/wiki/Glenda Jackson,Unknown,Unknown,1936,34
1971,44th,Jane Fonda,Klute,Best Actress,https://en.wikipedia.org/wiki/Jane Fonda,https://upload.wikimedia.org/wikipedia/commons/4/46/Jane_Fonda_Cannes_2015.jpg,"New York City, New York, U.S.",1937,34
1972,45th,Liza Minnelli,Cabaret,Best Actress,https://en.wikipedia.org/wiki/Liza Minnelli,https://upload.wikimedia.org/wikipedia/commons/7/79/LIZA_MINELLI_1997.jpg,"Los Angeles, California, U.S.",1946,26
1973,46th,Glenda Jackson,A Touch of Class,Best Actress,https://en.wikipedia.org/wiki/Glenda Jackson,Unknown,Unknown,1936,37
1974,47th,Ellen Burstyn,Alice Doesn't Live Here Anymore,Best Actress,https://en.wikipedia.org/wiki/Ellen Burstyn,https://upload.wikimedia.org/wikipedia/commons/6/63/Ellen_Burstyn_at_the_2009_Tribeca_Film_Festival.jpg,"Detroit, Michigan, U.S.",1932,42
1975,48th,Louise Fletcher,One Flew Over the Cuckoo's Nest,Best Actress,https://en.wikipedia.org/wiki/Louise Fletcher,https://upload.wikimedia.org/wikipedia/commons/8/89/Louise_Fletcher_1959_crop.jpg,"Birmingham, Alabama, U.S.",1934,41
1976,49th,Faye Dunaway,Network,Best Actress,https://en.wikipedia.org/wiki/Faye Dunaway,https://upload.wikimedia.org/wikipedia/commons/2/20/Fay_Dunaway_1997.jpg,"Bascom, Florida, U.S.",1941,35
1977,50th,Diane Keaton,Annie Hall,Best Actress,https://en.wikipedia.org/wiki/Diane Keaton,https://upload.wikimedia.org/wikipedia/commons/b/bf/Diane_Keaton_2012-1_%28cropped%29.jpg,"Los Angeles, California, U.S.",1946,31
1978,51st,Jane Fonda,Coming Home,Best Actress,https://en.wikipedia.org/wiki/Jane Fonda,https://upload.wikimedia.org/wikipedia/commons/4/46/Jane_Fonda_Cannes_2015.jpg,"New York City, New York, U.S.",1937,41
1979,52nd,Sally Field,Norma Rae,Best Actress,https://en.wikipedia.org/wiki/Sally Field,https://upload.wikimedia.org/wikipedia/commons/1/1b/Sally_Field_%2811205%29_%28cropped%29.jpg,"Pasadena, California",1946,33
1980,53rd,Sissy Spacek,Coal Miner's Daughter,Best Actress,https://en.wikipedia.org/wiki/Sissy Spacek,https://upload.wikimedia.org/wikipedia/commons/3/36/Sissy_Spacek_by_David_Shankbone_%28cropped%29.jpg,"Quitman, Texas, U.S.",1949,31
1981,54th,Katharine Hepburn,On Golden Pond,Best Actress,https://en.wikipedia.org/wiki/Katharine Hepburn,https://upload.wikimedia.org/wikipedia/commons/0/08/Katharine_Hepburn_promo_pic.jpg,"Hartford, Connecticut, U.S.",1907,74
1982,55th,Meryl Streep,Sophie's Choice,Best Actress,https://en.wikipedia.org/wiki/Meryl Streep,https://upload.wikimedia.org/wikipedia/commons/4/46/Meryl_Streep_December_2018.jpg,"Summit, New Jersey, U.S.",1949,33
1983,56th,Shirley MacLaine,Terms of Endearment,Best Actress,https://en.wikipedia.org/wiki/Shirley MacLaine,https://upload.wikimedia.org/wikipedia/commons/a/a9/Shirley_MacLaine_-_1960.jpg,"Richmond, Virginia, U.S.",1934,49
1984,57th,Sally Field,Places in the Heart,Best Actress,https://en.wikipedia.org/wiki/Sally Field,https://upload.wikimedia.org/wikipedia/commons/1/1b/Sally_Field_%2811205%29_%28cropped%29.jpg,"Pasadena, California",1946,38
1985,58th,Geraldine Page,The Trip to Bountiful,Best Actress,https://en.wikipedia.org/wiki/Geraldine Page,https://upload.wikimedia.org/wikipedia/commons/2/28/Geraldine_Page_1956_press_photo.jpg,"Kirksville, Missouri, U.S.",1924,61
1986,59th,Marlee Matlin,Children of a Lesser God,Best Actress,https://en.wikipedia.org/wiki/Marlee Matlin,https://upload.wikimedia.org/wikipedia/commons/e/ec/MarleeMatlinMay09crop.JPG,"Morton Grove, Illinois, U.S.",1965,21
1987,60th,Cher,Moonstruck,Best Actress,https://en.wikipedia.org/wiki/Cher,https://upload.wikimedia.org/wikipedia/commons/b/bb/Cher_in_2019_cropped.jpg,"El Centro, California, U.S.",1946,41
1988,61st,Jodie Foster,The Accused,Best Actress,https://en.wikipedia.org/wiki/Jodie Foster,https://upload.wikimedia.org/wikipedia/commons/3/3f/Jodie_Foster_C%C3%A9sars_2011_2_%28cropped%29.jpg,"Los Angeles, California, U.S.",1962,26
1989,62nd,Jessica Tandy,Driving Miss Daisy,Best Actress,https://en.wikipedia.org/wiki/Jessica Tandy,https://upload.wikimedia.org/wikipedia/commons/7/7d/Jessica_Tandy_Publicity_Photo.jpg,"Hackney, London, England",1909,80
1990,63rd,Kathy Bates,Misery,Best Actress,https://en.wikipedia.org/wiki/Kathy Bates,https://upload.wikimedia.org/wikipedia/commons/1/1a/Kathy_Bates_by_Gage_Skidmore.jpg,"Memphis, Tennessee, U.S.",1948,42
1991,64th,Jodie Foster,The Silence of the Lambs,Best Actress,https://en.wikipedia.org/wiki/Jodie Foster,https://upload.wikimedia.org/wikipedia/commons/3/3f/Jodie_Foster_C%C3%A9sars_2011_2_%28cropped%29.jpg,"Los Angeles, California, U.S.",1962,29
1992,65th,Emma Thompson,Howards End,Best Actress,https://en.wikipedia.org/wiki/Emma Thompson,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Emma_Thompson_at_2013_TIFF_1_%28cropped%29.jpg/220px-Emma_Thompson_at_2013_TIFF_1_%28cropped%29.jpg,"Paddington, London, England",1959,33
1993,66th,Holly Hunter,The Piano,Best Actress,https://en.wikipedia.org/wiki/Holly Hunter,https://upload.wikimedia.org/wikipedia/commons/f/f7/Holly_Hunter_by_Gage_Skidmore.jpg,"Conyers, Georgia, U.S.",1958,35
1994,67th,Jessica Lange,Blue Sky,Best Actress,https://en.wikipedia.org/wiki/Jessica Lange,https://upload.wikimedia.org/wikipedia/commons/9/91/Jessica_Lange_%28Cropped%29.JPG,"Cloquet, Minnesota, U.S.",1949,45
1995,68th,Susan Sarandon,Dead Man Walking,Best Actress,https://en.wikipedia.org/wiki/Susan Sarandon,https://upload.wikimedia.org/wikipedia/commons/a/a1/Susan_Sarandon%2C_Festival_de_Sitges_2017_%28cropped%29.jpg,"New York City, New York, U.S.",1946,49
1996,69th,Frances McDormand,Fargo,Best Actress,https://en.wikipedia.org/wiki/Frances McDormand,https://upload.wikimedia.org/wikipedia/commons/e/ed/Frances_McDormand_2015_%28cropped%29.jpg,"Gibson City, Illinois, U.S.",1957,39
1997,70th,Helen Hunt,As Good as It Gets,Best Actress,https://en.wikipedia.org/wiki/Helen Hunt,https://upload.wikimedia.org/wikipedia/commons/7/78/HelenHunt%40ambiente2015.JPG,"Culver City, California, U.S.",1963,34
1998,71st,Gwyneth Paltrow,Shakespeare in Love,Best Actress,https://en.wikipedia.org/wiki/Gwyneth Paltrow,https://upload.wikimedia.org/wikipedia/commons/4/42/GwynethPaltrowByAndreaRaffin2011.jpg,"Los Angeles, California, U.S.",1972,26
1999,72nd,Hilary Swank,Boys Don't Cry,Best Actress,https://en.wikipedia.org/wiki/Hilary Swank,https://upload.wikimedia.org/wikipedia/commons/6/6e/Hilary_Swank_at_28th_Tokyo_International_Film_Festival.jpg,"Lincoln, Nebraska, U.S.",1974,25
2000,73rd,Julia Roberts,Erin Brockovich,Best Actress,https://en.wikipedia.org/wiki/Julia Roberts,https://upload.wikimedia.org/wikipedia/commons/5/54/Julia_Roberts_%2843838880775%29.jpg,"Smyrna, Georgia, U.S.",1967,33
