Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year,Age Awarded
1999,72nd,Kevin Spacey,American Beauty,Best Actor,https://en.wikipedia.org/wiki/Kevin Spacey,"South Orange, New Jersey, U.S.",1959,40
2000,73rd,Russell Crowe,Gladiator,Best Actor,https://en.wikipedia.org/wiki/Russell Crowe,"Wellington, New Zealand",1964,36
2001,74th,Denzel Washington,Training Day,Best Actor,https://en.wikipedia.org/wiki/Denzel Washington,"Mount Vernon, New York, U.S.",1954,47
2002,75th,Adrien Brody,The Pianist,Best Actor,https://en.wikipedia.org/wiki/Adrien Brody,"Woodhaven, Queens, New York, U.S.",1973,29
2003,76th,Sean Penn,Mystic River,Best Actor,https://en.wikipedia.org/wiki/Sean Penn,"Santa Monica, California, U.S.",1960,43
2004,77th,Jamie Foxx,Ray,Best Actor,https://en.wikipedia.org/wiki/Jamie Foxx,"Terrell, Texas, U.S.",1967,37
2005,78th,Philip Seymour Hoffman,Capote,Best Actor,https://en.wikipedia.org/wiki/Philip Seymour Hoffman,"Fairport, New York, U.S.",1967,38
2006,79th,Forest Whitaker,The Last King of Scotland,Best Actor,https://en.wikipedia.org/wiki/Forest Whitaker,"Longview, Texas, U.S.",1961,45
2007,80th,Daniel Day-Lewis,There Will Be Blood,Best Actor,https://en.wikipedia.org/wiki/Daniel Day-Lewis,"London, England",1957,50
2008,81st,Sean Penn,Milk,Best Actor,https://en.wikipedia.org/wiki/Sean Penn,"Santa Monica, California, U.S.",1960,48
2009,82nd,Jeff Bridges,Crazy Heart,Best Actor,https://en.wikipedia.org/wiki/Jeff Bridges,"Los Angeles, California, U.S.",1949,60
2010,83rd,Colin Firth,The King's Speech,Best Actor,https://en.wikipedia.org/wiki/Colin Firth,"Grayshott, Hampshire, England",1960,50
2011,84th,Jean Dujardin,The Artist,Best Actor,https://en.wikipedia.org/wiki/Jean Dujardin,"Rueil-Malmaison, France",1972,39
2012,85th,Daniel Day-Lewis,Lincoln,Best Actor,https://en.wikipedia.org/wiki/Daniel Day-Lewis,"London, England",1957,55
2013,86th,Matthew McConaughey,Dallas Buyers Club,Best Actor,https://en.wikipedia.org/wiki/Matthew McConaughey,"Uvalde, Texas, U.S.",1969,44
2014,87th,Eddie Redmayne,The Theory of Everything,Best Actor,https://en.wikipedia.org/wiki/Eddie Redmayne,"Westminster, London, England",1982,32
2015,88th,Leonardo DiCaprio,The Revenant,Best Actor,https://en.wikipedia.org/wiki/Leonardo DiCaprio,"Los Angeles, California, U.S.",1974,41
2016,89th,Casey Affleck,Manchester by the Sea,Best Actor,https://en.wikipedia.org/wiki/Casey Affleck,"Falmouth, Massachusetts, U.S.",1975,41
2017,90th,Gary Oldman,Darkest Hour,Best Actor,https://en.wikipedia.org/wiki/Gary Oldman,"London, England",1958,59
2018,91st,Rami Malek,Bohemian Rhapsody,Best Actor,https://en.wikipedia.org/wiki/Rami Malek,"Los Angeles, California, U.S.",1981,37
2019,92nd,Joaquin Phoenix,Joker,Best Actor,https://en.wikipedia.org/wiki/Joaquin Phoenix,"San Juan, Puerto Rico",1974,45
