Years,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year
1992(65th),Clint Eastwood,Unforgiven,Best Director,https://en.wikipedia.org/wiki/Clint Eastwood,"San Francisco, California, U.S.",1930
1993(66th),Steven Spielberg,Schindler's List,Best Director,https://en.wikipedia.org/wiki/Steven Spielberg,"Cincinnati, Ohio, U.S.",1946
1994(67th),Robert Zemeckis,Forrest Gump,Best Director,https://en.wikipedia.org/wiki/Robert Zemeckis,"Chicago, Illinois, U.S.",1952
1995(68th),Mel Gibson,Braveheart,Best Director,https://en.wikipedia.org/wiki/Mel Gibson,"Peekskill, New York, U.S.",1956
1996(69th),Anthony Minghella,The English Patient,Best Director,https://en.wikipedia.org/wiki/Anthony Minghella,"Ryde, Isle of Wight, England",1954
1997(70th),James Cameron,Titanic,Best Director,https://en.wikipedia.org/wiki/James Cameron,"Kapuskasing, Ontario, Canada",1954
1998(71st),Steven Spielberg,Saving Private Ryan,Best Director,https://en.wikipedia.org/wiki/Steven Spielberg,"Cincinnati, Ohio, U.S.",1946
1999(72nd),Sam Mendes,American Beauty,Best Director,https://en.wikipedia.org/wiki/Sam Mendes,"Reading, Berkshire, England",1965
2000(73rd),Steven Soderbergh,Traffic,Best Director,https://en.wikipedia.org/wiki/Steven Soderbergh,"Atlanta, Georgia, U.S.",1963
2001(74th),Ron Howard,A Beautiful Mind,Best Director,https://en.wikipedia.org/wiki/Ron Howard,"Duncan, Oklahoma, U.S.",1954
2002(75th),Roman Polanski,The Pianist,Best Director,https://en.wikipedia.org/wiki/Roman Polanski,"Paris, French Third Republic",1933
2003(76th),Peter Jackson,The Lord of the Rings: The Return of the King,Best Director,https://en.wikipedia.org/wiki/Peter Jackson,"Wellington, New Zealand",1961
2004(77th),Clint Eastwood,Million Dollar Baby,Best Director,https://en.wikipedia.org/wiki/Clint Eastwood,"San Francisco, California, U.S.",1930
2005(78th),Ang Lee,Brokeback Mountain,Best Director,https://en.wikipedia.org/wiki/Ang Lee,"Chaozhou, Pingtung, Taiwan",1954
2006(79th),Martin Scorsese,The Departed,Best Director,https://en.wikipedia.org/wiki/Martin Scorsese,"New York City, U.S.",1942
2007(80th),Coen Brothers,No Country for Old Men,Best Director,https://en.wikipedia.org/wiki/Coen Brothers,"St. Louis Park, Minnesota, U.S. (both)",1954
2008(81st),Danny Boyle,Slumdog Millionaire,Best Director,https://en.wikipedia.org/wiki/Danny Boyle,"Radcliffe, Greater Manchester, England",1956
