Years,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year
2009 (82nd),Christoph Waltz,Inglourious Basterds,BestSupportingActor,https://en.wikipedia.org/wiki/Christoph Waltz,"Vienna, Austria",1956
2010 (83rd),Christian Bale,The Fighter,BestSupportingActor,https://en.wikipedia.org/wiki/Christian Bale,"Haverfordwest, Pembrokeshire, Wales",1974
2011 (84th),Christopher Plummer,Beginners,BestSupportingActor,https://en.wikipedia.org/wiki/Christopher Plummer,"Toronto, Ontario, Canada",1929
2012 (85th),Christoph Waltz,Django Unchained,BestSupportingActor,https://en.wikipedia.org/wiki/Christoph Waltz,"Vienna, Austria",1956
2013 (86th),Jared Leto,Dallas Buyers Club,BestSupportingActor,https://en.wikipedia.org/wiki/Jared Leto,"Bossier City, Louisiana, U.S.",1971
2014 (87th),J. K. Simmons,Whiplash,BestSupportingActor,https://en.wikipedia.org/wiki/J. K. Simmons,"Grosse Pointe, Michigan, U.S.",1955
2015 (88th),Mark Rylance,Bridge of Spies,BestSupportingActor,https://en.wikipedia.org/wiki/Mark Rylance,"Ashford, Kent, England",1960
2016 (89th),Mahershala Ali,Moonlight,BestSupportingActor,https://en.wikipedia.org/wiki/Mahershala Ali,"Hayward, California, U.S.",1974
2017 (90th),Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",BestSupportingActor,https://en.wikipedia.org/wiki/Sam Rockwell,"Daly City, California, U.S.",1968
2018 (91st),Mahershala Ali,Green Book,BestSupportingActor,https://en.wikipedia.org/wiki/Mahershala Ali,"Hayward, California, U.S.",1974
2019 (92nd),Brad Pitt,Once Upon a Time in Hollywood,BestSupportingActor,https://en.wikipedia.org/wiki/Brad Pitt,"Shawnee, Oklahoma, U.S.",1963
