Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year,Age Awarded
2001,74th,Halle Berry,Monster's Ball,Best Actress,https://en.wikipedia.org/wiki/Halle Berry,"Cleveland, Ohio, U.S.",1966,35
2002,75th,Nicole Kidman,The Hours,Best Actress,https://en.wikipedia.org/wiki/Nicole Kidman,"Honolulu, Hawaii, U.S.",1967,35
2003,76th,Charlize Theron,Monster,Best Actress,https://en.wikipedia.org/wiki/Charlize Theron,"Benoni, South Africa",1975,28
2004,77th,Hilary Swank,Million Dollar Baby,Best Actress,https://en.wikipedia.org/wiki/Hilary Swank,"Lincoln, Nebraska, U.S.",1974,30
2005,78th,Reese Witherspoon,Walk the Line,Best Actress,https://en.wikipedia.org/wiki/Reese Witherspoon,"New Orleans, Louisiana, U.S.",1976,29
2006,79th,Helen Mirren,The Queen,Best Actress,https://en.wikipedia.org/wiki/Helen Mirren,"Hammersmith, London, England",1945,61
2007,80th,Marion Cotillard,La Vie en Rose,Best Actress,https://en.wikipedia.org/wiki/Marion Cotillard,"Paris, France",1975,32
2008,81st,Kate Winslet,The Reader,Best Actress,https://en.wikipedia.org/wiki/Kate Winslet,"Reading, Berkshire, England",1975,33
2009,82nd,Sandra Bullock,The Blind Side,Best Actress,https://en.wikipedia.org/wiki/Sandra Bullock,"Arlington, Virginia, U.S.",1964,45
2010,83rd,Natalie Portman,Black Swan,Best Actress,https://en.wikipedia.org/wiki/Natalie Portman,Jerusalem,1981,29
2011,84th,Meryl Streep,The Iron Lady,Best Actress,https://en.wikipedia.org/wiki/Meryl Streep,"Summit, New Jersey, U.S.",1949,62
2012,85th,Jennifer Lawrence,Silver Linings Playbook,Best Actress,https://en.wikipedia.org/wiki/Jennifer Lawrence,"Indian Hills, Kentucky, U.S.",1990,22
2013,86th,Cate Blanchett,Blue Jasmine,Best Actress,https://en.wikipedia.org/wiki/Cate Blanchett,"Ivanhoe, Victoria, Australia",1969,44
2014,87th,Julianne Moore,Still Alice,Best Actress,https://en.wikipedia.org/wiki/Julianne Moore,"Fort Bragg, North Carolina, U.S.",1960,54
2015,88th,Brie Larson,Room,Best Actress,https://en.wikipedia.org/wiki/Brie Larson,"Sacramento, California, U.S.",1989,26
2016,89th,Emma Stone,La La Land,Best Actress,https://en.wikipedia.org/wiki/Emma Stone,"Scottsdale, Arizona, U.S.",1988,28
2017,90th,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Best Actress,https://en.wikipedia.org/wiki/Frances McDormand,"Gibson City, Illinois, U.S.",1957,60
2018,91st,Olivia Colman, The Favourite,Best Actress,https://en.wikipedia.org/wiki/Olivia Colman,"Norwich, Norfolk, England",1974,44
2019,92nd,Renée Zellweger,Judy,Best Actress,https://en.wikipedia.org/wiki/Renée Zellweger,"Katy, Texas, U.S.",1969,50
